Customer,Country,State Code,State,Claim Amount,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Claim Reason,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Car Make
BU79786,US,KS,Kansas,276.3519279,No,Basic,Bachelor,2/24/11,Employed,F,56274,Suburban,Married,69,32,5,0,1,Corporate Auto,Corporate L3,Collision,Agent,384.811147,Two-Door Car,Medsize,Land Rover
QZ44356,US,NE,Nebraska,697.9535903,No,Extended,Bachelor,1/31/11,Unemployed,F,0,Suburban,Single,94,13,42,0,8,Personal Auto,Personal L3,Scratch/Dent,Agent,1131.464935,Four-Door Car,Medsize,Aston Martin
AI49188,US,OK,Oklahoma,1288.743165,No,Premium,Bachelor,2/19/11,Employed,F,48767,Suburban,Married,108,18,38,0,2,Personal Auto,Personal L3,Collision,Agent,566.472247,Two-Door Car,Medsize,Daewoo
WW63253,US,MO,Missouri,764.5861827,No,Basic,Bachelor,1/20/11,Unemployed,M,0,Suburban,Married,106,18,65,0,7,Corporate Auto,Corporate L2,Collision,Call Center,529.881344,SUV,Medsize,Aston Martin
HB64268,US,KS,Kansas,281.3692575,No,Basic,Bachelor,02/03/2011,Employed,M,43836,Rural,Single,73,12,44,0,1,Personal Auto,Personal L1,Collision,Agent,138.130879,Four-Door Car,Medsize,Bentley
OC83172,US,IA,Iowa,825.62978,Yes,Basic,Bachelor,1/25/11,Employed,F,62902,Rural,Married,69,14,94,0,2,Personal Auto,Personal L3,Hail,Web,159.383042,Two-Door Car,Medsize,Land Rover
XZ87318,US,IA,Iowa,538.0898636,Yes,Basic,College,2/24/11,Employed,F,55350,Suburban,Married,67,0,13,0,9,Corporate Auto,Corporate L3,Collision,Agent,321.6,Four-Door Car,Medsize,Land Rover
CF85061,US,NE,Nebraska,721.6100311,No,Premium,Master,1/18/11,Unemployed,M,0,Urban,Single,101,0,68,0,4,Corporate Auto,Corporate L3,Collision,Agent,363.02968,Four-Door Car,Medsize,Aston Martin
DY87989,US,IA,Iowa,2412.750402,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Corporate Auto,Corporate L3,Collision,Agent,511.2,Four-Door Car,Medsize,Porsche
BQ94931,US,IA,Iowa,738.8178085,No,Extended,College,2/17/11,Employed,F,28812,Urban,Married,93,17,7,0,8,Special Auto,Special L2,Hail,Branch,425.527834,Four-Door Car,Medsize,Daewoo
SX51350,US,MO,Missouri,473.8992022,No,Basic,College,2/21/11,Unemployed,M,0,Suburban,Single,67,23,5,0,3,Personal Auto,Personal L3,Collision,Agent,482.4,Four-Door Car,Small,Daewoo
VQ65197,US,MO,Missouri,819.7197078,No,Basic,College,01/06/2011,Unemployed,F,0,Suburban,Married,110,27,87,0,3,Personal Auto,Personal L3,Hail,Agent,528,SUV,Medsize,Ford
